date,title
2022/06/10,富邦金前5月稅後純益、EPS為歷年次高 富邦產險單月轉虧
2022/06/17,富邦金股價跌到5字頭挨批 釋疑產險防疫保單承保始末
2022/06/24,富邦金控國際評比再傳捷報！勇冠台灣金融業
