date,title
2023/03/10,防疫險損失高於預期！富邦金2月只賺13.08億元 前2月稅後純益年減8成
2023/03/16,〈富邦金法說〉北富銀去年獲利創新高 Costco聯名卡發卡已近50萬張
2023/03/16,〈富邦金法說〉對美國矽谷等四銀行零曝險 對瑞信曝險110億元
2023/03/16,〈富邦金法說〉發得出股利！近1200億元未分配盈餘可分派
2023/03/25,「邦」你關燈 富邦金控攜手9家子公司響應「世界關燈日」
