date,title
2022/03/01,刺激投保意願 五張美元利變保單3月調升利率
2022/03/01,興采、聚紡股臨會通過合併案 在台擴產強化整合綜效
2022/03/01,禾昌2月營收雙減 累計營收力守持平去年
2022/03/01,東研信超取得TAF認可 將強化WiFi 6E檢測能力
2022/03/01,〈宏達電展MWC〉不放棄手機市場 預計4月發表元宇宙新機
2022/03/01,從主動式智慧防災出發 宇瞻首重為客戶創造價值
2022/03/01,網龍挾IP優勢大啖元宇宙商機 今年將推3款NFT
2022/03/01,畢業生最嚮往公司！富邦金控集團12度蟬聯「保險龍鳳獎」四項特優
2022/03/01,大宇紡織虧損收斂 楊任凱出任總座
2022/03/01,泰鼎-KY去年獲利創高 EPS 7.25元 擴產效益逐步顯現
2022/03/01,聚積攜手洲明 搶進LED電影屏市場
2022/03/01,真好玩4月推自研手遊《吞食天地3：放置版》 今年營運可望轉盈
2022/03/01,安碁資訊去年EPS 5.11元 每股擬配3.7元現金股利
2022/03/01,俄羅斯被逐出SWIFT 四大銀行、三大壽險踩雷
2022/03/01,遠傳併購亞太電首年即見綜效 EBITDA至少增30億元
2022/03/01,力麗轉型有成 今年月均營收估站穩10億元 全年成長逾1成
2022/03/01,台積電日本熊本廠釋最新進度 預計Q2動工
2022/03/01,〈竹科跳電〉友達部分機台異常持續復機中 群創未受影響
2022/03/01,〈車市〉電動機車買氣旺 前2月掛牌數年增逾130%
2022/03/01,〈高端疫苗董事會〉因應未來國際訂單需求提前備料 擬增資募35億元
2022/03/01,〈竹科跳電〉台積電確認影響中 力積電仍在查明原因
2022/03/01,鋼鐵族群為什麼這麼強？除了鋼鐵以外，還有這兩大族群也是趨勢
2022/03/01,自行車整車廠明係去年獲利大增91.7% 每股純益1.85元
2022/03/01,〈竹科跳電〉台電證實用戶設備跳脫一度造成壓降 目前供電一切正常
2022/03/01,雷虎攜手HOONIGAN跨足NFT版圖 超前布署元宇宙
2022/03/01,訂單降溫 精材1月獲利年減66% EPS 0.35元
2022/03/01,全支付取得執照 全家、全聯電支聯盟下半年合體攻嗶經濟
2022/03/01,【法人洞見：散熱、連接器、記憶體  3月產業真主流】
2022/03/01,晶圓產能取得無虞 愛普*今年營運持續成長
2022/03/01,兩利空夾擊 壽險業元月淨值大減近3000億元
2022/03/01,2月權證交易金額微降 台積電、航運包辦前10大標的
2022/03/01,〈高端疫苗董事會〉去年首度轉盈每股賺6.65元 保留現金擬配5元股票股利
2022/03/01,〈聯發科新晶片亮相〉推天璣8000系列兩新品 瞄準中高階市場
2022/03/01,俄烏危機下 大漲後的台股：低軌衛星的台揚率先發動 接下來看連接器
2022/03/01,〈車市〉2月掛牌年減1成 和泰車雙品牌分居冠亞軍成大贏家
2022/03/01,迅得2月營收3.44億元創歷年同期新高 全年訂單已接滿
2022/03/01,〈宏達電展MWC〉VIVERSE應用落地台灣 攜高市府推元宇宙造鎮計畫
2022/03/01,仁寶攜手恩智浦推小基站 下半年進軍日本
2022/03/01,〈ESG大趨勢〉集保平台再進化 導入S&P ESG數據
2022/03/01,高股息投資人按讚 元大龍頭基金定期定額金額逆勢成長122%
2022/03/01,〈俄烏衝突〉戰事波及 合勤暫停透過中歐鐵路出貨
2022/03/01,惠普、戴爾示警Q1仍有積壓訂單 台代工廠出貨有變數
2022/03/01,鋼鐵、航運人氣爆棚 台股大漲246點收17898點收復5日線
2022/03/01,大宇資推大富翁NFT 搶攻元宇宙商機
2022/03/01,驅動IC市況雜音多 外資對頎邦看法分歧 調降目標價
2022/03/01,〈焦點股〉鋼鐵軍團領銜上攻 中鋼強漲創近半年新高
2022/03/01,國際廢鋼行情持穩高檔 豐興盤價連二平
2022/03/01,和泰車招攬大學、研究所應屆畢業生 起薪祭出4萬元起
2022/03/01,一卡通MONEY合作銀行再加一 LINE Bank連結扣款正式上線
2022/03/01,中菲行完成鳳凰城合資子公司策略投資 成美國營運新據點
2022/03/01,通膨壓力與俄烏衝突 勞動基金單月淨損1095億元
2022/03/01,〈宏達電展MWC〉首度揭開元宇宙應用VIVERSE 解決時間、空間限制
2022/03/01,2月CCI調查 物價信心指標連7跌 寫12年半來新低
2022/03/01,電金傳權值股齊上攻 台股早盤大漲逾200點重回五日線
2022/03/01,糖尿病照護福音！元樟生技新型敷料 促傷口癒合避免感染
