date,title
2022/06/01,欣陸投控旗下大陸建設今年推案估210億元 竹、桃尋找適合開發標的
2022/06/01,《非凡贏家》車用二極體蓄勢待發！
2022/06/01,〈日電貿法說〉鋁電、聚合物電容需求穩健向上 交期長達20周
2022/06/01,〈ESG大趨勢〉遠傳加入愛立信環保計畫 汰換上萬基站、回收98%電子廢棄物
2022/06/01,晟鈦董事會大改組 前大慶證董座莊明理出任董事長
2022/06/01,外資提款集中金融股 買超聚焦面板、航運股
2022/06/01,長聖5月、前5月營收雙創新猷 全年有望突破7億元
2022/06/01,〈旺宏展望〉吳敏求：車用NOR Flash報價已超越英飛凌
2022/06/01,保險存摺正式上線 年繳百元可不限次查所有保單
2022/06/01,〈旺宏展望〉吳敏求：旺宏股價一直是委屈
2022/06/01,旭源4月轉盈 前4月每股純益9.27元
2022/06/01,台塑化擬斥資3.42億元 採購廢熱處理等設備
2022/06/01,〈日電貿法說〉庫存去化估8月告一段落 下半年被動元件需求持續成長
2022/06/01,上海全面解封，電子族群機會來了？首要關注這兩大族群
2022/06/01,大魯閣休閒事業拚拓點 湳雅廣場將增營業面積
2022/06/01,〈開發金法說〉擬備妥400億銀彈 瞄準評估併購機會
2022/06/01,俄烏戰爭+中國封控 全球手機產量不排除再下修
2022/06/01,惠普看旺企業需求台廠營運有撐 聯想也推新品搶市
2022/06/01,〈車市〉三陽5月銷量衝破1.5萬台 重回銷售冠軍
2022/06/01,傳三安光電MiniLED產品驗證不順 最快下半年量產
2022/06/01,〈開發金法說〉中壽若接軌IFRS 17 淨值估增加750億元
2022/06/01,季線反壓真的過不去嗎?8478東哥、1605華新、6235華孚見好就收?！ .
2022/06/01,宏碁智醫海外布局報捷 AI軟體醫材導入泰國、印度醫院
2022/06/01,〈車市〉缺車衝擊 5月新車掛牌規模寫9年來同期新低
2022/06/01,〈台股盤後〉鴻家軍領軍多頭難敵季線賣壓 跌132點收16675點
2022/06/01,台廠結盟日商進軍電動車市場 觀察家警告日本小心被超車
2022/06/01,台廠結盟日商進軍電動車市場 觀察家警告日本小心被超車
