date,title
2022/08/01,台股萬五得而復失 法人估基本面撐腰短線將反覆打底
2022/08/01,和鑫Q2每股賺0.12元 擬買回2萬張庫藏股
2022/08/01,台汽電擬斥7億元 在雲林建置儲能系統
2022/08/01,驅動IC庫存調整壓力大 外資估頎邦Q3營收季減2-3成
2022/08/01,智聯服務Q2純益創新高EPS 0.76元 上半年每股賺1.35元
2022/08/01,萬五關卡重重 生技類股擇優佈局
2022/08/01,明泰Q2每股賺0.45元 創5年來新高
2022/08/01,元宇宙、網通、下半年焦點股威盛、宏達電、兆赫
2022/08/01,〈ETF除息旺季〉國泰投信三檔ETF配息出爐 00878年化殖利率逾6% 
2022/08/01,台灣首家！中國信託勇奪《The Banker》最佳創新數位銀行大獎
2022/08/01,男性平均所得65萬高於女性 兩性差距縮小至1.5倍近10年首見
2022/08/01,泓格Q2純益季增9成寫次高 上半年EPS 1.84元同期最佳
2022/08/01,外資出脫台積電、三檔金融股 續回補新光金
2022/08/01,邁達特雲端服務事業擴大 下半年營運逐季增
2022/08/01,長聖前7月營收3.33億元續創高 Q4再走揚
2022/08/01,〈東洋展望〉複製台灣模式拓展東南亞市場 海外營收比重拚逾10%
2022/08/01,金麗科7月營收0.3億元 累計前7月年減29%
2022/08/01,中碳Q2純益近倍增創7年新高 EPS 2.41元
2022/08/01,伊雲谷看好下半年雲端動能 9月中旬轉上市
2022/08/01,顯卡價量齊跌 麗臺Q2轉虧EPS -1.25元、上半年每股虧0.78元
2022/08/01,〈ETF除息旺季〉00900擬配息1.2元 殖利率超過10%
2022/08/01,全家打造零售業首見電動車商店 南科試營運
2022/08/01,柏承庫藏股執行屆滿 共買回669張執行率66.9%
2022/08/01,萬五震盪，分析師：短線個股積極表現
2022/08/01,〈東洋展望〉新總座提三大策略 目標5年營收翻倍
2022/08/01,燁聯及燁輝有意提高持股結合 唐榮三點聲明：事前不知情
2022/08/01,矽格Q2 EPS 2.18元創新高 上半年賺4元
2022/08/01,〈車市〉7月旺季總掛牌月增17% 前10大車商僅賓士衰退
2022/08/01,超微市值超車英特爾 施振榮：垂直分工是大勢所趨
2022/08/01,股債重挫投資績效 勞動基金前6月淨損逾4400億元
2022/08/01,華碩攜手新漢、台達電等簽署MOU 搶攻工業4.0商機
2022/08/01,光聖6月EPS 0.68元 單月賺贏去年第四季
2022/08/01,永信建設上半年EPS 2.68元 下半年建案總銷120億元
2022/08/01,台泥加入氣候組織EP100 2040年能源生產力提升5成
2022/08/01,台積電劉德音：中國若侵台 世界秩序將崩壞
