date,title
04/06,立委質疑金管會監理放水 黃天牧點名：兩家壽險業須限期改善
04/06,〈焦點股〉OPEC+減產 2檔原油ETF放量大漲 台塑化站上年線
04/06,【投資分享】投資豐向球權證小哥見面會 4月11日重磅登場
04/06,新藥臨床有大進展 生華科完成膽管癌會議 康霈下季公布數據
04/06,〈焦點股〉南電3月營收不如預期 ABF載板三雄同步下挫
04/06,漢達癌症新藥「一理由」與美FDA上市承諾先取消 股價重挫10%
04/06,〈旅展促銷提前跑〉春季旅展開打 易飛網樂估業績增3倍
04/06,勞動基金2月收益1189.5億元 單月吐回逾300億元
04/06,台海地緣政治敏感 黃天牧：台股是我的事 將密切觀察三指標
04/06,保瑞與韓商簽訂口服藥委託生產合作 將銷往亞洲7大市場
04/06,連假商機爆發 遠百、環球購物業績年增2成起跳
04/06,茂順3月營收挑戰歷史新高+毛利率維持高檔 接單已到8月
04/06,〈台股盤前要聞〉電子雙雄Q1營收出爐、中砂第三代半導體砂輪出貨 今日必看財經新聞
04/07,聚陽3月營收創同期最佳 Q2估持平去年同期
04/07,〈臺慶科法說〉入股鈺邦有助擴大AI、HPC布局 綜效最快明年顯現
04/07,〈臺慶科法說〉Q2估持平首季 下半年雙動能帶動營收回溫
04/07,矽格Q1營收36億元探兩年低 估是全年最低點
04/07,汎銓3月營收1.6億元寫同期高 新設備Q2到位
04/07,可成Q1營收35億元探新低 估Q2回溫
04/07,研華3月營收締單月新猷 Q1創單季次高優預期
04/07,客戶履行長約 環球晶3月、Q1營收雙創高
04/07,富邦產險累虧達資本額一半再增資160億元 和泰產「先減資、再增資」
04/07,規劃集團發展 廣運以18億元拿下桃園平鎮1.4萬坪工業不動產
04/07,海運界二大重磅消息接連出 貨攬業這樣解讀
04/07,網通廠營收出爐 明泰、啟碁3月、Q1營收均創同期新高
04/07,國巨3月營收重返90億元 凱美同步回溫均月增5%
04/07,美律去年基期低 3月營收雙增 首季71.3億元
04/07,韓國三星減產效應起 三大法人齊買華邦電1.97萬張
04/07,觀望情緒拖累周線收黑 3因素牽動台股持續震盪
04/07,光寶科3月營收127億元月增17% 雲端運算電源、車用持續成長
04/07,緯創Q1營收2120億元雙減 筆電、桌機Q2出貨將成長雙位數
04/07,〈航運指數〉三大長程線運價罕見連袂彈 Q2海運市況略好轉
04/07,寶齡腎臟新藥銷售增 2月純益翻倍 每股賺0.66元
04/07,高力3月及首季營收雙創新高 新產能陸續建置中
04/07,蘋果供應鏈玉晶光3月營收10.52億元 月增13.46%
04/07,連假後關注焦點：伺服器
04/07,帆宣攜手竹科經營層送愛到貢寮 捐贈逾200萬元眼科儀器
04/07,結束大陸行返台 馬英九： 九二共識又活過來了
04/07,環泰獲台、馬兩地銷售成長挹注 3月營收4.97億元創歷史新高
04/07,2023現金殖利率前十名排行榜
04/07,和大3月營收寫同期高 看電動車市將呈百家爭鳴榮景
04/07,強化資源整合 湯石照明宣布併購大峽谷-KY
04/07,拒絕高齡悲歌！不是有錢人也要認識的信託！
04/07,永豐金證券推出「投資不滅島」闖關活動 玩遊戲學投資還可以飛東京！
04/07,訂單遞延效應 全宇生技-KY 3月、Q1營收雙創同期新高
04/07,臻鼎-KY仍處於淡季 首季營收315.45億元年減6.99%
04/07,【量大強漲股整理】下周三項數據決定台股4月走勢，引動軋空的條件為何?台股將迎來長線利多
04/07,【新台股龍捲風】 千附精密又飆漲停！新主流進入射程開始鎖定！
04/07,汽車零件放量加持 和勤業績回溫 3月營收月增31.54%
04/07,八貫Q1營收6.4億元 寫同期新高
04/07,普發現金4/10開放ATM領現 金管會掛保證：不會有銀行偷跑
04/07,全球電信商去年資本支出成長放緩 今年將陷入衰退
04/07,〈焦點股〉軍工、航太概念股人氣不墜 這2檔續寫新天價
04/07,電信業首家 遠傳通過SBTi 1.5度情境審核
04/07,【產業概觀】台灣螺絲享譽國際；鋼鐵概念股一次掌握
04/07,長榮航長期支持運動賽事 攜手洛杉磯天使隊推全壘打慈善贊助
04/07,〈焦點股〉明係首季業績亮麗後勢不看淡 股價帶量創新天價
04/07,〈焦點股〉高端內線交易案偵結 股價翻紅走高
04/07,普發現金ATM領現4/10起跑 15家金融機構逾2.6萬台ATM待命上陣
04/07,麗豐-KY首季獲利有望登高 全年逐季走揚
04/07,宇瞻TCG Opal固態硬碟通過FIPS 140-2認證 確保資料存取最高安全性
04/07,雄獅、元本聯手推頂級極地遊輪行程 12月啟航
04/07,迅得送件發債及辦理現增募資6億元 爲今年來設備廠首發籌資案
04/07,詭譎的盤勢 靈活的操作
04/07,〈台股盤前要聞〉5產險資本嚴重不足、鴻騰注資星國子公司 今日必看財經新聞
04/08,〈安聯人壽展望〉通膨升息壓力和緩 力拚FYP晉級市場第5強
04/08,〈安聯人壽展望〉會計接軌過渡期影響淨值 估今年中可重回安全水位
04/08,〈熱門股〉鈺緯Q1營收寫同期次高 連二根漲停創逾6年半新高
04/08,〈熱門股〉立積下半年營運好轉 股價先表態周漲18%
04/08,寬魚國際推新電影 劉德華睽違八年再出演國片
04/08,〈熱門股〉星通周漲13.7%創近2年高 展達漲雙位數寫新高
04/08,〈熱門股〉jpp-KY航太營運起飛 股價再寫新猷
04/08,〈熱門股〉材料–KY業績成長動能強 股價衝400元創新高
04/08,〈熱門股〉生技族群再扮資金避風港 保瑞、益得周漲逾1成
04/08,〈研之有物〉深入農村的秘訣！口述歷史帶你走進田庄人生活
04/09,〈鴻海布局智慧城市〉擴大投資高雄定位南向基地 投資金額上看250億元
04/09,〈鴻海布局智慧城市〉建立自有平台「CityGPT」 攜高市府打造大聯盟
04/09,國安基金例會、大立光法說、台塑四寶Q1財報 本周大事預告
04/09,是方LY2 IDC機房明年使用率拚達5成 營收顯著跳增
04/09,電子雙雄Q1營收出爐、OPEC+擴大減產、蔡英文會麥卡錫 上周大事回顧
04/09,鴻海劉揚偉談展望保守「做得要比講得好」 庫存去化正常不擔心
04/09,〈台股風向球〉三大不確定因素 當心空方力道轉強
04/09,〈獨家〉泰山結盟馬祖酒廠獲酒品台灣總經銷 銷售上看16億元
04/10,榮剛3月營收締新猷 訂單能見度8個月直達年底
04/10,高技3月營收3.6億元續創新高 年增逾3成 Q1營收突破10億元
04/10,升息循環助攻 台企銀Q1稅後純益34.81億元、年增逾6成
04/10,〈華城專訪〉攜手國際大廠Vestas 切入風機組裝領域
04/10,三大法人買超15.97億元 外資敲進中興電1萬餘張
04/10,長榮3月營收終結連7衰 月增逾17%
04/10,蘋果供應鏈健鼎首季營收略優於內部預期 估Q2營收持平
04/10,台股跟進T+1？證交所：先以4面向創造有利環境
04/10,佳世達3月營收月增2成 Q1達504億元
04/10,世芯-KY營收寫兩紀錄 Q1飆57億元 超越去年上半年
04/10,菱光再賣東元股票 處分利益逾6000萬元 持股比降至2.7%
04/10,PCB鑽針廠尖點Q1營收下滑至6.17億元 不利毛利率表現
04/10,樺漢3月、Q1營收創同期高Q2估續強 在手訂單金額年增1成
04/10,消費性電子市況疲軟 漢磊、嘉晶Q1營收雙減
