date,title
02/01,新制勞退、勞保基金除了台積電 也愛這3檔金融股
02/01,彭博性別平等指數 穩懋等16家台股企業上榜稱霸亞太市場
02/01,富邦金控榮登《Brand Finance》全球500大最有價值品牌及永續指數
02/01,磊山保經今年拚業績目標成長30% 新增1500億元壽險保額建構家庭保障
02/01,愛德萬併購台PCB供應商 拓展測試打樣業務
02/01,新財長就定位 新會期優先推動三大法案「要讓年輕人有感」
02/01,致茂告惠特侵權敗訴 將再提上訴
02/01,仁新晚期乾性黃斑部病變新藥 向美申請三期臨床試驗
02/01,台北國際電玩展來臨 智冠率網龍等團隊聯合參展
02/01,〈長佳智能轉上櫃〉3月上旬轉掛牌 瞄準醫療保健AI市場
02/01,康寧去年每股賺2.09美元 Q1玻璃價格看持平
02/01,〈房產〉觀望氣氛籠罩 12月房貸、土建融年增率雙創波段低
02/01,〈聯亞法說〉Q1營收估持平去年同期 美矽光客戶擴大800G拉貨
02/01,外資連三日加碼聯電 累計張數衝破12.3萬張
02/01,〈長佳智能轉上櫃〉明年首季前拿下多張認證 力拚損平
02/01,〈勞動基金績效〉股債回穩 1月勞動基金收益數可望回升至1500億元
02/01,〈車市〉買氣M型化 每賣出10台車有1台是雙B
02/01,大漲後的激情 2月股市關鍵時間點出爐!
02/01,迅得1月營收5.32億元創同期新高 今年前三季產能滿載
02/01,兔年開春多舛 淘帝-KY董座涉嫌掏空遭起訴
02/01,台股劇情火熱，持續看好當家花旦《中小型股》
02/01,選股不選市 選股雙主軸，雙周報多檔發威
02/01,〈聯亞法說〉Q4純益季增14% 全年每股賺3.61元
02/01,CUBE卡流通卡數突破280萬張創紀錄 國泰世華蟬聯2022年刷卡王功臣
02/01,【量大強漲股整理】~外資不怕今晚聯準會升1碼，連12買超2162億元!
02/01,海能風電47支風機全數安裝完成 逾8成風機開始送電
02/01,富邦Costco聯名卡四大權益升級 拚今年發200萬卡掀全球最大換卡潮
02/01,聯電攜手益華 推3D IC混合鍵合參考流程
02/01,台新藥眼部藥物完成人體臨床 上半年申請美藥證
02/01,台電攜手中研院 簽署減碳綠能MOU推動去碳燃氫發電
02/01,〈鴻海新春開工〉劉揚偉：規劃在歐生產電動車零組件 將赴美與客戶簽約
02/01,拚為防疫保單理賠止血 產險公會疾呼修改「法定傳染病」定義
02/01,【產業概觀】冬天吃得到西瓜？全拜應用生技所賜！5大領域概況整理
02/01,〈鴻海新春開工〉劉揚偉：今年經濟具挑戰 上半年會有影響
02/01,清明出國團費便宜至少3成 賞櫻旅遊詢問度暴增近6倍
02/01,精英LIVA迷你電腦印度市場報捷 看好成長動能延續
02/01,Speedtest台灣行動量測報告 中華電拿下三冠王
02/01,裕隆喜迎70周年慶 嚴陳莉蓮預告今年集團發展5件大事
02/01,宏碁攻教育市場商機 首款Chromebook Vero產品亮相
02/01,〈勞動基金績效〉升息擊潰股債多頭 勞動基金2022年大虧3529億元
02/01,〈中國解封概念〉王品亮漲停燈 距200元大關僅一步之遙
02/01,國際廢鋼持穩高檔 豐興鋼筋盤價延續年前漲勢連二揚
02/01,〈台股盤前〉台指期夜盤跟進美股漲逾百點 指數可望再站年線
02/01,郭明錤：iPhone 16 Pro僅一款配潛望鏡相機 不利光學雙雄
02/01,〈台股盤前要聞〉12月外銷訂單連四黑、公準客戶重啟來台訪廠 今日必看財經新聞
02/02,去年地方超徵紅包729億元 高於預估值650億元 財部：應優先還債
02/02,稅收增加  我去年租稅負擔率14.2% 創24年來新高
02/02,友通1月營收雙降 子公司其陽創同期高
02/02,聚陽1月營收雙減 Q1可望逐月回升
02/02,意法估今年營收再增4-10% 資本支出衝40億美元
02/02,義隆1月營收跳升 月增37%達8.15億元
02/02,【產業概觀】台灣2050淨零轉型，風電商機爆！擴大減碳目標可望創造5.9兆產值
02/02,台灣金首例 台灣金董座沈榮津出線 呂桔誠專任台銀董座
02/02,〈雷仲達開講〉兩因素影響 今年房市一定量縮但價跌空間小
02/02,產險業去年淨值創14年新低 元月防疫雙險再賠220億元
02/02,天鈺1月營收11.46億元 月減約2成探一年低點
02/02,瑞昱、先進光、威盛、鈺創，惠珊老師投資池依然強勢！
02/02,微星電競、商務筆電新品齊發 營運添動能
02/02,信邦1月營收27.56億元 創同期最佳
02/02,農曆春節影響 明泰1月營收月減41%、仲琦下滑近3成
02/02,創意去年Q4賺一股本創新高 全年EPS 27.69元也締新猷
02/02,公司派批陳敏薰陣前倒戈 龍邦：泰山企圖轉移經營權焦點
02/02,早晚會復甦＝上漲萬靈丹？
02/02,永豐金證券落實ESG永續行動 募集閒置好物逾4000件捐贈社福
02/02,〈雷仲達開講〉合庫金董座：聯準會上半年可望停止升息 今年經濟會比預期好
02/02,高通為S23系列打造超頻版5G晶片 採用三星自家4奈米
02/02,〈彭双浪開講〉電動車發展趨勢成顯學 未來2-3年車用市場成長可期
02/02,巨生醫肝細胞癌新藥 規劃申請孤兒藥資格與臨床三期
02/02,〈車市〉和泰車急轉彎 大改款 LEXUS LM今年恐難亮相
02/02,2月FOMC 重點摘要
02/02,科技ETN連袂漲 統一證：通膨趨緩助攻市場情緒
02/02,中華電用戶持續增加 推升今年營收、5G滲透率成長
02/02,外資大買晶圓雙雄130億元 反手調節鴻海、航空雙雄
02/02,中國無錫電鍍產能停擺 界霖、長科*啖IDM廠轉單
02/02,〈台北國際電玩展〉智冠今年目標擴大IP授權 mycard生態系進軍海外
02/02,〈車市〉台灣意美汽車拚今年供貨穩定 Q2導入WRX
02/02,經營權之爭再戰　泰山：考慮解任陳敏薰獨董職務
02/02,〈車市〉輕型商用車市雙雄成形 TOWN ACE拿1月銷售王
02/02,美股利多拉尾盤，台股增溫 電子類股輪動可期
02/02,【新台股龍捲風】 META效應下果然漲到威盛家族，接下來?
02/02,【量大強漲股整理】~聯準會鮑爾這兩句話，讓股民等了一年!元宇宙概念股大漲!
02/02,FOMC先鷹後鴿，市場樂觀偏多操作，留意輪動現象
02/02,〈台股盤後〉電子、半導體族群齊揚 漲175點站穩年線
02/02,〈彭双浪開講〉友達執行彈性、混合上班制度 創造新商業模式
02/02,〈台北國際電玩展〉大宇資新養成遊戲亮相 2款熱銷IP新作下半年將上市
02/02,〈彭双浪開講〉盼新內閣持續解決五缺 籲政府應帶頭調整薪資結構
02/02,〈台北國際電玩展〉近300家國內外廠商參展 台灣遊戲市場規模上看千億元
02/02,宏碁資訊將成立上海子公司 樂觀看雲端平台高能量爆發
02/02,【產業概觀】大數據時代來臨，個資外洩機率增加！資安議題箭在弦上；概念股一次看
02/02,〈焦點股〉Meta財測樂觀 元宇宙概念股大開資金派對
02/02,〈彭双浪開講〉今年電子產業會比去年好 估Q2後逐季往上
02/02,春節工作天數少 毅嘉元月營收降至6億元 仍創8年同期高
02/02,〈焦點股〉兔年最強五檔海外股票ETF出列 00757股價創5個月新高
02/02,〈三星新機發表〉手機需求下滑 預期高階市場衝擊最小
02/02,80萬股民注意！00878預估配息公布 年化殖利率上看6.3%
02/02,5G可用率成新決勝戰場 遠傳奪全台第一
02/02,〈台股盤前〉大盤將處高檔震盪 ABF等中小型科技股將吸引買盤
02/02,〈台股盤前要聞〉鴻海將赴美簽約、台幣升破30元大關 今日必看財經新聞
02/02,〈三星新機發表〉Galaxy S23 旗艦系列鏡頭大升級 Ultra搭載2億級廣角
02/03,〈義联集團春酒〉高屏地區加碼投資700億元 優化鋼鐵事業、擴大多角布局
02/03,兆利斥資1.5億元設浙江廠 因應折疊手機客戶需求
02/03,〈義联集團春酒〉林義守：今年鋼鐵景氣相對穩定
02/03,外資1月大買台股逾2000億元創單月次高 慎防獲利了結賣壓逆襲
02/03,精測1月營收2.16億元 探兩年低點
02/03,經濟部通過 薪宇科技、意德士加碼投資台灣
02/03,〈長科法說〉Q1營收季減約2成 全年拚季季高
02/03,佳世達1月營收創23月低點 高附加價值事業逆勢增
02/03,環球晶擬收購兆遠上海子公司 深化5G衛星產業布局
02/03,〈貿聯展望〉展開「4x4策略」布局 衝刺四大長期動能
02/03,〈長科法說〉去年Q4獲利年減逾3成 全年賺進7.5個股本
02/03,〈聯發科法說〉Q1營運估落底、全年展望待觀察 一文看懂六大重點
02/03,〈創意法說〉Q1營收季減逾1成 全年量產動能強勁、營運續創新高
02/03,南亞科1月22.5億元 再探十年來新低
02/03,〈宏碁展望〉拓展AI智慧創新應用 鎖定四大領域
02/03,華通1月營收創19個月新低 靜待元宵節後訂單明朗
02/03,電子業市況低迷 三福化、勝一1月營收雙減
02/03,1月我外匯存底創高 央行證實外資大舉進場台股
02/03,〈宏碁展望〉今年營運審慎樂觀 台灣區可望逐季成長
02/03,〈聯發科法說〉全年營收展望待觀察 毛利率目標維持46-49%
02/03,牧德1月營收1.63億元年減12.3% 連11個月衰退
02/03,北極星-KY肺間皮癌新藥 3月與美FDA展開藥證申請前會議
02/03,外資續買超台股115億元 再敲進晶圓雙雄3.26萬張
02/03,〈貿聯展望〉車用需求樂觀營運逐季向上 全年續創新高
02/03,開工第一週惠珊老師投資池的選股秘方！
02/03,營運展望不悲觀 外資維持中華電目標價115元
02/03,〈聯發科法說〉Q1營收恐跌破千億元 季減6-14%估為全年最低點
02/03,橘子嘉年華開跑 打造首場NPC電玩市集
