date,title
2022/07/01,經濟成長挹注稅收 今年綜所稅申報額2259億元 年增逾2成
2022/07/01,台股市值單周蒸發2.8兆元 短線觀察三訊號變化
2022/07/01,德微6月營收1.98億元 Q2、上半年全創新高
2022/07/01,台開掰了！證交所公告8/4將強制下市
2022/07/01,資金出走潮 台股今年千金俱樂部成員腰斬 市值蒸發1.92兆元
2022/07/01,基泰國產實業大樓65億元易主 處分利益每股純益4.56元
2022/07/01,電動車電池大短缺 鈣鈦礦太陽能車頂是解藥
2022/07/01,0050下半年配息出爐 創同期最高金額
2022/07/01,鴻海、國泰金等26檔股票7/4除息交易 大盤估約蒸發近50點
2022/07/01,仲琦6月營收13.75億元創新高 下半年逐季增溫
2022/07/01,新盛力前5月獲利大增 EPS 0.93元轉盈
2022/07/01,台股熊市氛圍瀰漫 沈榮津：必要時將開國安基金臨時委員會
2022/07/01,〈車市〉缺車問題未解 6月車商排名再洗牌 BMW罕見衝上第二
2022/07/01,外資回補ABF族群 大買欣興 棄息鴻海賣超1.75萬張
2022/07/01,〈航運指數〉海運Q3旺季有雜音？ SCFI連3跌 三大長程線運價創波段低
2022/07/01,綠色金融助攻 北富銀、友達攜手全台首件永續供應鏈金融合作
2022/07/01,小心被假期交所網站誘騙開戶下單 一招教你識破騙局
2022/07/01,台泥總經理李鐘培辭職 張安平暫兼總座
2022/07/01,泰碩實施庫藏股 擬買回600張轉讓予員工
2022/07/01,市況變化 外資調降巨大評等至中立目標價砍到250元
2022/07/01,反映升息 2家壽險270張保單利率喊漲 台新壽不升反降
2022/07/01,圓剛攜手圓展 助力培育台灣空手道國手
2022/07/01,友達攜手供應鏈夥伴 目標2030年減碳20%
2022/07/01,浩鼎抗癌抗體新藥OBI-888臨床提前終止收案
2022/07/01,台積電市值跌破12兆元 本周蒸發8557億元
2022/07/01,工研院攜手杜邦、羅德史瓦茲 助台廠切進LTCC 5G毫米波應用
2022/07/01,台股7月開局首日三大法人賣超62.24億元 外資今年已提款近1兆
2022/07/01,財部公告957件欠稅大戶名單 件數增、金額減
2022/07/01,台股繼續破底  張錫：大盤明顯超跌8月有望啟動反彈
2022/07/01,〈台股盤後〉護國神山領跌 台股下半年首交易日重挫482.65點
2022/07/01,華新7月內銷盤價續跌 每公噸最大降1萬元
2022/07/01,全台首發 蘋信科技攜手五大電信 助攻企業精準行銷
2022/07/01,開陽投控轉投資攜手國際大廠 建置台首座100MW儲能案場
2022/07/01,美光財測低預期旺季無望 記憶體族群逆風來襲
2022/07/01,〈中經院發布PMI〉6月非製造業NMI略回升 多數業者仍對未來半年偏保守
2022/07/01,保瑞併伊甸 擴產+漲價 伊甸全年營運轉盈
2022/07/01,〈焦點股〉聯發科市值失守兆元 權值三王單日蒸發逾6500億元
2022/07/01,中興電攜手汎德 打造智慧電能生活圈
2022/07/01,〈中經院發布PMI〉製造業未來半年展望創2年來新低 需求有疲軟趨勢
2022/07/01,建大深圳廠開發案轉由國營企業和居承接 可望加快進度
2022/07/01,證交所新董座林修銘：台股受資金面影響走跌 市場終將回歸理性
2022/07/01,【龍哥講股教室】台股就是等待初步止跌訊號，不預設低點，多看少做，控制風險！
2022/07/01,〈長榮經營權〉長榮國際股東會爭端 哥哥派提兩個解釋 籲兄弟展開對話
2022/07/01,通膨壓力拖累股市 勞動基金前5月收益虧2311億元
2022/07/01,00858、00888除息倒數 年化配息率達9%
2022/07/01,〈台股盤前〉上半年慘跌3393點後 一現象顯示大盤反彈有限
2022/07/01,7/1盤前提醒：美股打底、台股先破低？投信Q2結帳壓到最低！Q3能否利空出盡？
2022/07/01,〈台股盤前要聞〉MCU降價暴風圈登陸、三星搶先量產3奈米 今日必看財經新聞
2022/07/02,台股熊市創1年半低、產業電價調漲 本周大事回顧
2022/07/02,〈熱門股〉太陽能類股輪動 安集抗跌周漲1成
2022/07/02,〈熱門股〉華星光逆勢周漲32% 股價創14個月新高
2022/07/02,〈熱門股〉統一獲三大法人青睞 本周買超1.61萬張上漲2.26%
2022/07/02,〈熱門股〉寶齡腎臟新藥銷售分潤金可觀 逆勢周漲13%
2022/07/02,〈熱門股〉外資出走連日破底 台積電探近20個月新低價
2022/07/02,〈熱門股〉元太遭內外資棄守 股價連吞兩根跌停失守200元
2022/07/02,〈熱門股〉寶雅逆勢創2個月來新高 站穩300元大關
2022/07/02,〈熱門股〉IPC成資金避風港 飛捷本周登5年新高價
2022/07/02,〈研之有物〉熟悉的陌生人：做麵包、釀酒以外，臺灣森林無所不在的野生釀酒酵母菌
2022/07/03,鴻海iPEBG事業群舉辦動員大會 為iPhone 14量產爬坡暖身
2022/07/03,偏光板廠腹背受敵 Q3營運保守
2022/07/03,精測Q2、上半年營收創同期高 下半年估優於上半年
2022/07/03,〈觀察〉壽險業艱困挑戰 淨值大舉蒸發+二度增資壓力浮現
2022/07/03,〈觀察〉晶片法案遭共和黨大老揚言阻擋 台積電、環球晶美國建廠再添變數
2022/07/03,〈觀察〉軟板需求不振 FCCL調漲報價備受考驗
2022/07/03,台積電市值失守4000億美元大關 跌至全球第十三大
2022/07/03,〈台股風向球〉利空不跌才是底部 提防個股間多殺多
2022/07/03,科定新品效益強 看好下半年裝潢需求成長
2022/07/03,報復性旅遊潮將至 信用卡最高回饋20% 三大國旅神卡大比拚
2022/07/03,搶畢業人潮 八大壽險徵才超過2.6萬人
2022/07/03,權值股營收/除權息、6月CPI 本周大事預告
2022/07/03,晉弘電子鼻咽鏡通過美認證 明年貢獻營收
2022/07/03,三星電視庫存高達16周 今年LCD面板採購量將下滑近2成
2022/07/03,台積電遭蘋果砍單？郭明錤：目前沒有任何跡象
2022/07/04,耕興檢測需求強 6月、Q2、上半年營收皆創新高
2022/07/04,外資連五賣台積電 累計賣超突破3萬張
