date,title
01/01,CES展登場、台股開紅盤、2022年出口統計 本周大事預告
01/01,〈觀察〉服務業大缺工 內需復甦力道恐遭壓抑
01/01,"封關前空方勢化解條件，景氣燈號""藍""燈帶來的機會"
01/01,台股逆風而行，2023「紅包行情」鎖定三大選股法則
01/02,〈鴻海子公司併購〉併PRETTL SWH年營收估貢獻4億歐元 毛利率同攀升
01/02,〈鴻海子公司併購〉鴻騰斥61億元併德商 擴充車用線束布局
01/02,帆宣在手訂單維持600億元 今年營收再拚新高
01/02,〈台股風向球〉元月開紅盤消息面平平 靠個股輪流點火紅包行情
01/02,電信三雄佈千座基站 跨年夜全台數據量翻倍創高
01/02,舒緩鄭州廠人力吃緊 鴻海啟動周邊單位支援計畫
01/02,北美暴雪肆虐 台AM零件廠估受惠一好一壞
01/02,顯示器廠搶軌道交通商機 友達拿下全球逾3成市占
01/02,〈觀察〉感測器成長趨勢明確 被動元件廠擴大布局
01/02,12月出口連4黑成定局 Q4出口旺季不旺
01/02,市場需求帶動 材料-KY去年Q4單季營收可望連三季登頂
01/03,中國寶鋼2月續開漲盤 中鋼盤價添底氣
01/03,違規處分全家股票遭罰200萬元 泰山回應了
01/03,農曆春節休市長達12日 期交所擬調高4類契約保證金10%
01/03,豐達科去年12月營收創39個月高 全年增5成
01/03,台股2022年IPO家數、金額雙升 資誠看好半導體今年續航力
01/03,強化資本市場競爭力 金管會今年為台股射6箭
01/03,新光三越拚新春買氣 卡利High檔期日均業績目標創新高
01/03,金融業去年現增逾2100億元 史上最大增資潮今年未完待續
01/03,信邦去年營收308.86億元連13年創高 Q4也創單季最佳
01/03,合併頻譜超標議題 台灣大：繳回將成國庫損失 盼一致性審核
01/03,新鉅科營運不敵需求下滑 去年營收衰退34.1%
01/03,大型專案進補 互動12月營收5.78億元月增247%
01/03,金管會送外銀拚淨零轉型大禮 金融債額度可拉高至8495億元
01/03,外資翻臉賣超貨櫃三雄等傳產股 續加碼金融股
01/03,蘋果傳推平價版AirPods新品 宣德擁利基受惠大
01/03,仲琦繳出亮眼成績單 12月、Q4、全年營收皆創歷史新高
01/03,泰山賣全家股票涉兩大缺失 證交所開鍘200萬元
01/03,外資：鴻海2025年電動車營收兆元達標 獲利估增20%
01/03,終端需求保守 12月我國製造業PMI續創低
01/03,長聖去年12月營收連10個月成長 全年創新高
01/03,CCL廠台燿簽約取得30億元聯貸 充實中長期營運資金
01/03,〈中華電菁英論壇〉跟上國際腳步 提寬頻PPDR五大方向
01/03,〈2022車市統計〉TOYOTA這款車連2年最熱賣 前10大銷售榜出現新黑馬
01/03,華孚去年12月營收4.38億元 與Q4、全年同寫新高
01/03,蘋果傳明年Apple Watch將採MicroLED 首先導入高階機款
01/03,防疫雙險去年總理賠2116億元 產險業一年增資超過4年總和912倍
01/03,迅得12月營收5.37億元改寫同期新高 全年以57.62億元登頂
01/03,美股盤前：2023開盤第一天!特斯拉交車量不如預期、微軟併購暴雪難上加難!
01/03,〈2022車市統計〉缺車+通膨衝擊 10大車商僅1家成長
01/03,南電去年Q4營收177億元 全年飆646億元雙寫新高
01/03,百萬股民注意！5檔ETF配息出爐 搶息收年終獎金要1/17前進場
01/03,元旦後鋼鐵股表現如何？還能追嗎？
01/03,精測去年Q4營收年減1成 審慎樂觀看今年
01/03,聯電限制員工權利新股正式上市 三高層分得2400張
01/03,【新台股龍捲風】 開低走高逆轉勝 【儲能】【板卡】【驅動IC】果真上來！
01/03,〈中華電菁英論壇〉董座重申超標頻譜應繳回 加速導入寬頻PPDR
01/03,建案入帳落點遞延 永信建設2022年營收41.33億元符合預期
01/03,〈焦點股〉驅動IC首季有望觸底 4檔大漲逾半根停板
01/03,元宇宙是大趨勢 施振榮：台灣應借重資通訊、晶片製造設計優勢
01/03,富邦媒布局短鏈綠色物流 建置電動三輪車隊
01/03,〈服務業加薪搶人〉乾杯平均調薪6.5% Q1要招400人
01/03,年底趕工需求出貨旺 豐興鋼筋重啟漲勢 型鋼同步走揚
01/03,技嘉拆分網通事業群 1/1正式獨立為技鋼科技
01/03,鴻海鄭州廠訂單狀況良好 春節後續迎生產高峰
