date,title
2022/09/07,〈台塑四寶業績發表〉三寶估Q4市況略微好轉 台塑化看9月油價平盤整理
2022/09/07,〈台塑四寶業績發表〉8月營收1563.7億元小幅成長 僅台塑化維持雙增
2022/09/16,台塑化路州建廠計畫再遇挑戰 法院撤銷廢氣排放許可證
2022/09/16,排放許可遭法院撤銷 台塑在美94億美元石化廠投資案遇阻
2022/09/26,泛用樹脂價格穩中透強 台塑等台廠營運有撐
2022/09/27,台塑化董座：三因子帶動 11-12月油價將回升至一百美元
2022/09/28,中國黃金周帶動AN需求回溫 台塑、中石化營運有撐
