date,title
2022/05/04,超微報喜上調全年財測 台積電同受惠
2022/05/04,台積電力推光阻在地化 永光成大贏家
2022/05/05,上市櫃公司去年營業利益突破2兆元大關 台積電居首
2022/05/08,台積電營收、鴻海法說、4月進出口統計 本周大事預告
2022/05/09,外資主要賣超金控股 提款台積電近44億元
2022/05/09,規模6.1地震 台積電、聯電生產未受影響
2022/05/10,外資再賣台積電逾8000張 回補面板雙虎破2萬張
2022/05/10,台積電通知客戶 明年晶圓代工再漲價約6%
2022/05/10,〈台積電董事會〉Q1擬配息2.75元 9/15除息
2022/05/10,〈台積電董事會〉啟動全球員工購股計畫 提供15%補助金
2022/05/10,台積電4月營收1725.61億元 月增0.3% 再創新高
2022/05/11,台積電今年二度發綠債 總金額61億元
2022/05/11,台積電Q1配息持平 傳明年Q1全面調漲報價
2022/05/11,〈台股盤前要聞〉台積電明年漲價6%、聯發科4月營收登次高 今日必看財經新聞
2022/05/12,台積電明年再度漲價 美系外資樂看毛利率前景
2022/05/12,外資連五賣 調節台積電逾萬張、加碼面板雙虎
2022/05/14,台積電再漲價、央行第5波打炒房、科技大廠法說 本周大事回顧
2022/05/17,美系外資喊多台積電 目標價衝上912元
2022/05/19,〈崇越法說〉配合台積電新設日本子公司 預告將前往馬來西亞設點
2022/05/20,台積電董座劉德音 二度出任WSC全球主席
2022/05/20,傳評估新加坡設廠 台積電：目前沒有具體計畫
2022/05/21,〈熱門股〉台積電市值單周增近5000億元 周K終止連六黑
2022/05/23,〈台北國際電腦展〉超微新PC處理器 首款採台積電5奈米製程打造
2022/05/24,〈台北國際電腦展〉恩智浦採台積電5奈米製程 打造新一代車用處理器
2022/05/26,〈采鈺轉上市〉台積電：對采鈺有更高期待 目前沒有進一步釋股規劃
2022/05/30,台積電單日市值激增4400億元 重返14兆元大關
2022/05/30,〈台股盤中〉台積電、聯發科帶頭衝 台股強漲站回16500點
2022/05/31,台積電全球專利申請數逾7.5萬件 國內連六年居冠
2022/05/31,台積電改裝無塵室外氣空調箱 節電1.49億度
