date,title
2022/12/01,彭博：蘋果催促 台積電計劃在美生產4奈米晶片
2022/12/01,台積電重返五百，櫃買創高留意走低風險
2022/12/01,台積電跳空衝破500元大關 市值重返13兆元
2022/12/01,白宮：拜登12/6出席台積電亞利桑那廠上機典禮
2022/12/04,台積電美國廠進機典禮、進出口統計、上市櫃11月營收 本周大事預告
2022/12/05,〈國科會委員會議〉吳政忠：台積電核心技術在台 十年內沒有去台化問題
2022/12/05,台積電1奈米廠將落腳桃園龍潭 先導計畫已報行政院
2022/12/05,台積電2奈米廠邁大步 中科二期擴建環評初審過關
2022/12/05,【新台股龍捲風】台積電近關情怯但再生晶圓ABF先漲再說，留意檢測及矽智財
2022/12/06,拜登將出席台積電美國新廠移機典禮 呼籲修復供應鏈
2022/12/06,台積電亞利桑那州廠2026年生產3奈米 兩期共將斥資400億美元
2022/12/06,美股盤前：台積電美國3奈米廠預計明年開始生產蘋果及輝達晶片!
2022/12/06,台積電劉德音率團訪美 致贈亞利桑那州長晶圓紀念品
2022/12/06,〈焦點股〉台積電美國廠上機典禮前夕 供應鏈股價抗跌
2022/12/06,WSJ：台積電在致華府信中談美國廠成本高昂、人力短缺問題
2022/12/07,【新台股龍捲風】美NBI生技指數大底完成，生技+台積電大聯盟雙箭頭成形
2022/12/07,【盤中熱點】指數震盪載板成重災區，台積電赴美設廠，半導體為何這麼重要？
2022/12/07,巴隆：台積電400億美元無法解決美半導體供應鏈問題
2022/12/07,英特爾基辛格發推文 肯定台積電對美國製造的支持
2022/12/07,劉德音：台積電美國兩座工廠年營收100億美元、晶圓年產60萬片
2022/12/07,台積電擴大AZ廠投資 拜登：可能會改變半導體領域遊戲規則
2022/12/07,蘋果庫克、AMD蘇姿丰證實：將採購台積電亞利桑那州廠晶片
2022/12/09,美股盤前：台積電營收創高!微軟收購動視暴雪最快今日將遭美國FTC起訴!
2022/12/09,【新台股龍捲風】 周線下跌265點周KD持續黃金交叉，生技+台積電大聯盟雙箭頭成形
2022/12/09,台積電11月營收飆上2227億元 月增6%創單月新高
2022/12/09,傳考慮日本再建新廠 台積電：目前無具體計畫
2022/12/10,台積電在美擴廠、稅收統計、PPI超預期 本周大事回顧
2022/12/11,台積電除息、超級央行周、航運法說 本周大事預告
2022/12/12,日執政黨大咖與台積電高層會談 討論推進台日半導體合作
2022/12/14,台積電12/15除息 大盤指數估約蒸發23.2點
2022/12/14,不畏疫情干擾 台積電慈善基金會善用科技做公益
2022/12/15,看好台積電前景 魏哲家連兩月加碼自家股票400張
2022/12/15,東部海域規模6.2地震 台積電、聯電未受影響
2022/12/15,台積電翻紅 第十度除息當日填息完封
2022/12/15,Fed放鷹美股倒地 台積電早盤面臨貼息窘境
2022/12/16,日經：索尼擬建手機感測器新廠 向台積電熊本新廠採購晶片
2022/12/21,傳南京廠暫緩擴產 台積電：擴產計劃不變
2022/12/22,兩張圖看懂航運業分類，概念股看這裡；電子成交比重僅38%貨櫃3雄成交值超越台積電！
2022/12/22,台積電一掃連日頹靡 市值重返12兆元
2022/12/23,再傳赴德國設廠 台積電：目前無具體計畫
2022/12/23,日經：台積電洽談在德國建首座歐洲晶片廠 明年初派團考察
2022/12/27,龍巖處分台積電股票835張 高達1.17億元利益落袋
2022/12/27,台積電資深副總林錦坤 出任資訊安全長
2022/12/27,化學材料廠新應材拚ESG 獲台積電肯定
2022/12/27,台積電罕見舉辦先進製程量產典禮 業界解讀原因有二
2022/12/28,外資翻臉賣超130億元 台積電遭砍逾1.5萬張
2022/12/28,台積電回補巴菲特缺口，大盤季線上揚有支撐機會
2022/12/28,日經：台積電設廠效應正在美國亞利桑那州浮現
2022/12/29,外資賣超台積電、鴻海共2.53萬張 同步大舉調節金融股
2022/12/29,〈台積電3奈米量產〉劉德音：2奈米落腳竹科與中科 依計畫推展中
2022/12/29,〈台積電3奈米量產〉研發中心明年Q2竹科開幕 將進駐8000人
2022/12/29,【鉅亨研報】 台積電宣布3奈米正式量產 台股尾盤欲振乏力
2022/12/29,晶睿奪Q4爆紅股冠軍 台積電仍穩居全年榜首
2022/12/29,〈台積電3奈米量產〉劉德音：良率已與5奈米量產同期相當 需求非常強勁
2022/12/30,台積電85%主管內升 採雙軌學習培訓新主管
2022/12/30,〈台股2022封關〉台積電全年跌幅27% 市值蒸發4.3兆元
2022/12/30,台積電首創開放式教育平台「供應商永續學院」 使用人次達120萬
2022/12/30,〈台股盤前要聞〉台積電3奈米量產、保險業11月虧958億元 今日必看財經新聞
2022/12/31,台積電3奈米量產、中國大解封、景氣轉亮低迷藍燈 本週大事回顧
