date,title
2022/06/04,〈觀察〉擴產、衝先進製程還不夠 三星、英特爾頻出招追趕台積電
2022/06/05,三星晶圓代工高層大洗牌 拚3奈米製程較勁台積電
2022/06/05,5月進出口統計、台積電營收、超級股東會 本周大事預告
2022/06/07,德國磋商設廠停滯不前 台積電傳評估義大利建廠
2022/06/08,〈台積電股東會〉營收展望、配息政策與海外設廠 一文看懂九大重點
2022/06/08,〈台積電股東會〉劉德音：不擔心缺電 因應跳電將增備用發電機
2022/06/08,〈台積電股東會〉談歐洲設廠 劉德音：持續評估尚無具體方案
2022/06/08,〈台積電股東會〉談美日韓合作 劉德音：不認為是威脅
2022/06/08,〈台積電股東會〉季配息何時提高？劉德音揭露時間點
2022/06/08,〈台積電股東會〉明年資本支出將逾400億美元 3年千億美元投資可望超標
2022/06/08,〈台積電股東會〉劉德音：今年產能利用率相當滿 正與客戶討論明年需求
2022/06/08,〈台積電股東會〉劉德音：今年營收預期成長30% 已準備好迎接未來幾年挑戰
2022/06/08,〈台股盤前要聞〉台積電傳評估赴義建廠、歐盟充電頭統一規格 今日必看財經新聞
2022/06/09,〈台股盤前要聞〉台積電今年營收估增3成、健策未來2年訂單無虞 今日必看財經新聞
2022/06/10,外資反手調節台積電 內外資齊捧金像電買超逾2萬張
2022/06/10,OTC不甩CPI持續攻 全力鎖定台積電大聯盟和車用零組件
2022/06/10,台積電5月營收衝上1857億元 連兩月改寫新高
2022/06/10,台積電市值今年來蒸發1000億美元 多頭分析師抱屈估將大漲50%
2022/06/12,DENSO考慮分拆晶片業務 台積電可望受惠
2022/06/12,台積電除息、央行理監事會、金融股超級股東會 本周大事預告
2022/06/13,台積電今年遭外資調節67.5萬張 市值降至13.38兆元
2022/06/15,外資賣台積電不手軟 今年提款近4千億 土洋續對做
2022/06/15,台積電等個股16日除息 大盤估約蒸發30.25點
2022/06/15,美日拚2025年生產2奈米 台積電：良率數據不錯不擔心
2022/06/15,工研院攜手台積電 開發前瞻磁性記憶體技術
2022/06/16,AR眼鏡新星Kura攜手台積電開發驅動IC 搶元宇宙商機
2022/06/16,台積電等半導體協會成員聯名發信 力促通過半導體補助法案
2022/06/16,三星李在鎔訪ASML取得額外EUV設備 追趕台積電
2022/06/16,〈台股盤中〉台積電填息領軍帶頭大盤反彈 追價保守開高走低
2022/06/16,不畏外資棄息 台積電開盤秒填息
2022/06/17,日政府拍板 補助台積電熊本廠資金
2022/06/17,日本政府通過台積電熊本廠補助案 最高4760億日圓
2022/06/17,費半重挫台積電難逃賣壓 摜破500元關卡探一年半低點
2022/06/18,聯準會升息、三星傳停購零件、台積電揭2奈米細節 本周大事回顧
2022/06/20,日政府補助熊本廠稀釋股權？台積電：仍掌握多數股權
2022/06/20,Q1晶圓代工產值連十一季創新高 台積電市占53.6%續稱霸
2022/06/20,台積電續破底失守500元大關 探近一年半新低
2022/06/20,花蓮規模6.0地震 台積電、聯電生產未受影響
2022/06/23,台積電遭狙殺股價再破底 6月以來市值蒸發近2兆元
2022/06/23,京城今年成屋銷售為主 看好台積電對高雄房市帶動效果
2022/06/24,台積電日本3DIC材料研發中心 今落成啟用
2022/06/27,台積電跳空重返500元 市值站回13兆元
2022/06/29,明年產能利用率下滑 美系外資下修台積電目標價至8字頭
2022/06/29,龔明鑫：台積電美國建廠速度 取決於補貼法案通過時程
2022/06/29,搶先台積電 韓媒爆三星6/30開始量產3奈米
2022/06/30,〈台積電ESG〉2030年再生能源採用占比 上調至40%
2022/06/30,〈台積電ESG〉精進永續管理 首發聯合國目標行動報告書
2022/06/30,〈台積電ESG〉去年全球員工薪酬中位數206萬元 較前一年增加25萬元
2022/06/30,〈先進製程爭霸戰〉三星搶先量產3奈米 台積電擁多重優勢霸主地位難撼動
2022/06/30,綠電年初迄今砸近億元買台積電 如今陷入套牢窘境
2022/06/30,外資賣超台積電55.16億元 大買滬深300正2逾萬張
2022/06/30,6/30盤前提醒：疫後解封商機爆發，機票再貴都得買，航空振翅高飛，三星3奈米製程傳量產，威脅台積電地位？
