date,title
2022/06/02,三大法人熱買船票與機票 合買長榮航2.89萬張
2022/06/09,長榮航四度獲評為全球五星航空、東亞最佳航空
2022/06/10,客運復甦+貨運運價高檔 華航、長榮航5月營收年增逾3成
2022/06/15,長榮航強化客運布局 Q3北美線增班7成搶中轉商機
2022/06/15,長榮航與桃空職工達共識 將續簽團協
2022/06/20,〈長榮經營權〉弟弟派又出手 長榮國際斥近10億買長榮航近3萬張
